id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size
0,8.4,3.09312,-1.91376,0.609682,0.428808,-0.0862151,0.000211596,-0.25773,0.0534058,-0.000119209,0.00528297,0.0908907,5,0.15
0,8.5,3.13488,-1.92215,0.609703,0.407432,-0.0818895,0.000201631,-0.189543,0.03732,-8.56817e-05,0.00528297,0.0908907,5,0.15
0,8.6,3.17465,-1.93015,0.609723,0.387526,-0.0780284,0.000193715,-0.222683,0.0428557,-0.000149012,0.00499716,0.0710587,5,0.15
0,8.7,3.21246,-1.93778,0.609741,0.369883,-0.0747444,0.00018198,-0.150606,0.0271574,-9.68575e-05,0.00499716,0.0710587,5,0.15
0,8.8,3.24868,-1.94512,0.609759,0.35392,-0.0718534,0.000172853,-0.182986,0.0336766,-8.9407e-05,0.00453112,0.0324375,5,0.15
0,8.9,3.28318,-1.95214,0.609776,0.33613,-0.0685887,0.000164472,-0.183627,0.0339225,-8.9407e-05,0.00453112,0.0324375,5,0.15
0,9,3.31581,-1.95881,0.609792,0.315404,-0.064683,0.000154972,-0.237703,0.0455976,-0.000119209,0.00534699,0.0197177,5,0.15
0,9.1,3.34619,-1.96506,0.609807,0.292244,-0.0602314,0.000143703,-0.233933,0.0452474,-0.000115484,0.00534699,0.0197177,5,0.15
0,9.2,3.37419,-1.97084,0.609821,0.267261,-0.0553459,0.00013113,-0.270963,0.0535846,-0.000119209,0.00457581,0.00630305,5,0.15
0,9.3,3.39956,-1.97611,0.609833,0.239954,-0.0499163,0.000119116,-0.277996,0.055626,-0.000122935,0.00457581,0.00630305,5,0.15
0,9.4,3.42213,-1.98081,0.609845,0.211239,-0.0441313,0.000105798,-0.297308,0.0603199,-0.000149012,0.00441883,0.00188079,5,0.15
0,9.5,3.44178,-1.98493,0.609854,0.181691,-0.0381125,9.09902e-05,-0.293702,0.060074,-0.000145286,0.00441883,0.00188079,5,0.15
